Member,First,Last,State,Party,Nay,Yea,Not Voting,Present,Total
Tester (D-MT),Jon,Tester,MT,D,39.16,60.46,0.38,0.0,263
Thune (R-SD),John,Thune,SD,R,31.56,67.68,0.76,0.0,263
Tillis (R-NC),Thomas,Tillis,NC,R,34.98,65.02,0.0,0.0,263
Toomey (R-PA),Pat,Toomey,PA,R,35.74,58.17,6.08,0.0,263
Udall (D-NM),Tom,Udall,NM,D,41.44,57.41,1.14,0.0,263
Vitter (R-LA),David,Vitter,LA,R,32.7,56.65,10.65,0.0,263
Warner (D-VA),Mark,Warner,VA,D,36.5,61.22,2.28,0.0,263
Warren (D-MA),Elizabeth,Warren,MA,D,44.49,55.51,0.0,0.0,263
Whitehouse (D-RI),Sheldon,Whitehouse,RI,D,40.3,59.7,0.0,0.0,263
Wicker (R-MS),Roger,Wicker,MS,R,34.6,64.26,1.14,0.0,263
Wyden (D-OR),Ron,Wyden,OR,D,40.68,58.56,0.76,0.0,263
